,Keyword,Layout,LoggingLibrary,ProjectInfo,SearchResult
205,Firebase,Firebase,Firebase,Countly/countly-sdk-android,"['/Countly_countly-sdk-android/app/build.gradle', '/Countly_countly-sdk-android/app/proguard-rules.pro', '/Countly_countly-sdk-android/app/src/main/AndroidManifest.xml', '/Countly_countly-sdk-android/app/src/main/java/ly/count/android/demo/App.java', '/Countly_countly-sdk-android/app/src/main/java/ly/count/android/demo/DemoFirebaseMessagingService.java', '/Countly_countly-sdk-android/sdk/src/main/java/ly/count/android/sdk/messaging/CountlyPush.java']"
206,Firebase,Firebase,Firebase,udacity/ShoppingListPlusPlus,"['/udacity_ShoppingListPlusPlus/README.md', '/udacity_ShoppingListPlusPlus/app/build.gradle', '/udacity_ShoppingListPlusPlus/app/src/androidTest/java/com/udacity/firebase/shoppinglistplusplus/ApplicationTest.java', '/udacity_ShoppingListPlusPlus/app/src/main/AndroidManifest.xml', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ShoppingListApplication.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/model/ShoppingList.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/model/ShoppingListItem.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/model/User.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/BaseActivity.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/MainActivity.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/SettingsActivity.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeListDetails/ActiveListDetailsActivity.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeListDetails/ActiveListItemAdapter.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeListDetails/AddListItemDialogFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeListDetails/EditListDialogFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeListDetails/EditListItemNameDialogFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeListDetails/EditListNameDialogFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeListDetails/RemoveListDialogFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeLists/ActiveListAdapter.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeLists/AddListDialogFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/activeLists/ShoppingListsFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/login/CreateAccountActivity.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/login/LoginActivity.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/meals/AddMealDialogFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/meals/MealsFragment.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/sharing/AddFriendActivity.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/sharing/AutocompleteFriendAdapter.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/sharing/FriendAdapter.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/ui/sharing/ShareListActivity.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/utils/Constants.java', '/udacity_ShoppingListPlusPlus/app/src/main/java/com/udacity/firebase/shoppinglistplusplus/utils/Utils.java', '/udacity_ShoppingListPlusPlus/app/src/main/res/layout/dialog_add_list.xml', '/udacity_ShoppingListPlusPlus/app/src/main/res/layout/dialog_add_meal.xml', '/udacity_ShoppingListPlusPlus/app/src/main/res/values/strings.xml', '/udacity_ShoppingListPlusPlus/rules/git.log']"
207,Firebase,Firebase,Firebase,firebase/analytics-webview,"['/firebase_analytics-webview/.git/config', '/firebase_analytics-webview/.git/logs/refs/remotes/origin/HEAD', '/firebase_analytics-webview/.git/logs/refs/heads/master', '/firebase_analytics-webview/.git/logs/HEAD', '/firebase_analytics-webview/CONTRIBUTING.md', '/firebase_analytics-webview/README.md', '/firebase_analytics-webview/android/README.md', '/firebase_analytics-webview/android/app/build.gradle', '/firebase_analytics-webview/android/app/src/main/AndroidManifest.xml', '/firebase_analytics-webview/android/app/src/main/java/com/google/firebase/quickstart/analytics/webview/AnalyticsWebInterface.java', '/firebase_analytics-webview/android/app/src/main/java/com/google/firebase/quickstart/analytics/webview/MainActivity.java', '/firebase_analytics-webview/android/app/src/main/java/com/google/firebase/quickstart/analytics/webview/SingleDomainWebViewClient.java', '/firebase_analytics-webview/android/app/src/main/res/layout/activity_main.xml', '/firebase_analytics-webview/android/app/src/main/res/values/strings.xml', '/firebase_analytics-webview/ios/README.md', '/firebase_analytics-webview/ios/objc/FirebaseAnalyticsWeb.xcodeproj/project.pbxproj', '/firebase_analytics-webview/ios/objc/FirebaseAnalyticsWeb/ViewController.m', '/firebase_analytics-webview/ios/objc/Podfile', '/firebase_analytics-webview/ios/swift/FirebaseAnalyticsWeb.xcodeproj/project.pbxproj', '/firebase_analytics-webview/ios/swift/FirebaseAnalyticsWeb/ViewController.swift', '/firebase_analytics-webview/ios/swift/Podfile', '/firebase_analytics-webview/web/.gitignore', '/firebase_analytics-webview/web/public/index.html', '/firebase_analytics-webview/web/public/index.js']"
208,Firebase,Firebase,Firebase,udacity/AdvancedAndroid_MyGarden,['/udacity_AdvancedAndroid_MyGarden/README.md']
209,Firebase,Firebase,Firebase,cuiliang/QuickerAndroid,['/cuiliang_QuickerAndroid/.gitignore']
212,Firebase,Firebase,Firebase,bazelbuild/intellij,['/bazelbuild_intellij/intellij_platform_sdk/BUILD']
213,Firebase,Firebase,Firebase,mapbox/store-locator-android,['/mapbox_store-locator-android/circle.yml']
214,Firebase,Firebase,Firebase,Yuphee/RewardLayout,['/Yuphee_RewardLayout/.gitignore']
215,Firebase,Firebase,Firebase,twilio/twilio-java,"['/twilio_twilio-java/src/main/java/com/twilio/rest/chat/v1/CredentialCreator.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/chat/v1/CredentialUpdater.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/chat/v2/CredentialCreator.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/chat/v2/CredentialUpdater.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/ipmessaging/v1/CredentialCreator.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/ipmessaging/v1/CredentialUpdater.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/ipmessaging/v2/CredentialCreator.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/ipmessaging/v2/CredentialUpdater.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/notify/v1/CredentialCreator.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/notify/v1/CredentialUpdater.java', '/twilio_twilio-java/src/main/java/com/twilio/rest/notify/v1/service/NotificationCreator.java']"
216,Firebase,Firebase,Firebase,codemybrainsout/place-search-dialog,['/codemybrainsout_place-search-dialog/projectFilesBackup/.idea/workspace.xml']
217,Firebase,Firebase,Firebase,scottyab/rootbeer,['/scottyab_rootbeer/.gitignore']
218,Firebase,Firebase,Firebase,googlesamples/io2015-codelabs,"['/googlesamples_io2015-codelabs/fire-place/CONTRIB.md', '/googlesamples_io2015-codelabs/fire-place/README.md', '/googlesamples_io2015-codelabs/fire-place/app/build.gradle', '/googlesamples_io2015-codelabs/fire-place/app/src/main/java/com/example/android/checkout/MapsActivity.java', '/googlesamples_io2015-codelabs/lovefield/lib/lovefield.js', '/googlesamples_io2015-codelabs/lovefield/lib/lovefield.min.js']"
219,Firebase,Firebase,Firebase,flipkart-incubator/android-inline-youtube-view,['/flipkart-incubator_android-inline-youtube-view/.gitignore']
220,Firebase,Firebase,Firebase,tyhjh/Arcface,['/tyhjh_Arcface/.gitignore']
221,Firebase,Firebase,Firebase,ginatrapani/todo.txt-android,['/ginatrapani_todo.txt-android/.gitignore']
223,Firebase,Firebase,Firebase,tencentyun/SuperPlayer_Android,['/tencentyun_SuperPlayer_Android/.gitignore']
224,Firebase,Firebase,Firebase,harjot-oberai/Croller,['/harjot-oberai_Croller/.gitignore']
229,Firebase,Firebase,Firebase,bisq-network/exchange,"['/bisq-network_exchange/build.gradle', '/bisq-network_exchange/relay/src/main/java/bisq/relay/RelayService.java']"
230,Firebase,Firebase,Firebase,freshplanet/ANE-Push-Notification,"['/freshplanet_ANE-Push-Notification/android/build.gradle', '/freshplanet_ANE-Push-Notification/android/lib/build.gradle', '/freshplanet_ANE-Push-Notification/android/lib/src/main/java/com/freshplanet/ane/AirPushNotification/ExtensionContext.java', '/freshplanet_ANE-Push-Notification/android/lib/src/main/java/com/freshplanet/ane/AirPushNotification/FCMMessagingService.java', '/freshplanet_ANE-Push-Notification/build/platform-android.xml', '/freshplanet_ANE-Push-Notification/ios/Podfile', '/freshplanet_ANE-Push-Notification/ios/Podfile.lock', '/freshplanet_ANE-Push-Notification/ios/Pods/Manifest.lock', '/freshplanet_ANE-Push-Notification/ios/Pods/Pods.xcodeproj/project.pbxproj', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification-acknowledgements.markdown', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification-acknowledgements.plist', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification.debug.xcconfig', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification.release.xcconfig']"
231,Firebase,Firebase,Firebase,florent37/OkGraphQl,['/florent37_OkGraphQl/.gitignore']
232,Firebase,Firebase,Firebase,hermanbanken/RxFiddle,"['/hermanbanken_RxFiddle/app/package.json', '/hermanbanken_RxFiddle/app/src/analytics.ts', '/hermanbanken_RxFiddle/app/src/experiment.ts', '/hermanbanken_RxFiddle/app/src/experiment/screens.ts', '/hermanbanken_RxFiddle/app/src/experiment/testScreen.ts', '/hermanbanken_RxFiddle/app/src/firebase/index.ts', '/hermanbanken_RxFiddle/app/src/ui/splash.ts', '/hermanbanken_RxFiddle/app/webpack.config.js', '/hermanbanken_RxFiddle/app/yarn.lock']"
233,Firebase,Firebase,Firebase,lolevsky/Android-Clean-Architecture,"['/lolevsky_Android-Clean-Architecture/README.md', '/lolevsky_Android-Clean-Architecture/build.gradle', '/lolevsky_Android-Clean-Architecture/data/build.gradle', '/lolevsky_Android-Clean-Architecture/data/src/main/java/me/lolevsky/nasaplanetary/data/remoteconfig/RemoteConfig.java', '/lolevsky_Android-Clean-Architecture/data/src/main/java/me/lolevsky/nasaplanetary/data/repository/Comments.java', '/lolevsky_Android-Clean-Architecture/data/src/main/java/me/lolevsky/nasaplanetary/data/tracking/Tracking.java', '/lolevsky_Android-Clean-Architecture/presentation/build.gradle', '/lolevsky_Android-Clean-Architecture/presentation/proguard-rules.pro', '/lolevsky_Android-Clean-Architecture/presentation/src/main/java/me/lolevsky/nasaplanetary/MainApplication.java', '/lolevsky_Android-Clean-Architecture/presentation/src/main/java/me/lolevsky/nasaplanetary/adapters/MarsPhotosAdapter.java', '/lolevsky_Android-Clean-Architecture/presentation/src/main/java/me/lolevsky/nasaplanetary/di/DataModule.java', '/lolevsky_Android-Clean-Architecture/presentation/src/main/java/me/lolevsky/nasaplanetary/view/screens/photocomment/PhotoCommentPresenter.java']"
234,Firebase,Firebase,Firebase,isuPatches/WiseFy,"['/isuPatches_WiseFy/.circleci/config.yml', '/isuPatches_WiseFy/README.md']"
235,Firebase,Firebase,Firebase,BreadKid/SearchItem,"['/BreadKid_SearchItem/README.md', '/BreadKid_SearchItem/app/build.gradle', '/BreadKid_SearchItem/app/src/main/java/com/breadykid/searchitem/MainActivity.java']"
236,Firebase,Firebase,Firebase,tinode/android-example,"['/tinode_android-example/README.md', '/tinode_android-example/app/build.gradle', '/tinode_android-example/app/src/main/AndroidManifest.xml', '/tinode_android-example/app/src/main/java/co/tinode/tindroid/Cache.java', '/tinode_android-example/app/src/main/java/co/tinode/tindroid/MessageActivity.java', '/tinode_android-example/app/src/main/java/co/tinode/tindroid/fcm/FBaseMessagingService.java', '/tinode_android-example/tinodesdk/src/main/java/co/tinode/tinodesdk/Topic.java']"
237,Firebase,Firebase,Firebase,vienan/TimeLine,['/vienan_TimeLine/app/app.iml']
239,Firebase,Firebase,Firebase,rtugeek/ColorSeekBar,['/rtugeek_ColorSeekBar/.gitignore']
240,Firebase,Firebase,Firebase,oasisfeng/island,"['/oasisfeng_island/app/src/main/AndroidManifest.xml', '/oasisfeng_island/assembly/build.gradle', '/oasisfeng_island/gradle.properties', '/oasisfeng_island/shared/build.gradle', '/oasisfeng_island/shared/src/main/AndroidManifest.xml', '/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/Config.java', '/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/analytics/Analytics.java', '/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/analytics/AnalyticsImpl.java', '/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/analytics/CrashReport.java', '/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/firebase/FirebaseWrapper.java', '/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/firebase/LazyFirebaseInstanceIdService.java']"
242,Firebase,Firebase,Firebase,Lycanite/LycanitesMobs,['/Lycanite_LycanitesMobs/src/main/java/com/lycanitesmobs/demonmobs/mobevents/AsmodeusStructureBuilder.java']
243,Firebase,Firebase,Firebase,r17171709/android_demo,"['/r17171709_android_demo/AOCDemo/.gitignore', '/r17171709_android_demo/ActivityBuilderDemo/.gitignore', '/r17171709_android_demo/Android8/.gitignore', '/r17171709_android_demo/ArchitectureDemo/.gitignore', '/r17171709_android_demo/ArchitectureDemo2/.gitignore', '/r17171709_android_demo/CoroutineDemo/.gitignore', '/r17171709_android_demo/CustomerViewDemo/.gitignore', '/r17171709_android_demo/DataBindingDemo/.gitignore', '/r17171709_android_demo/DataBindingDemo2/.gitignore', '/r17171709_android_demo/FrescoDemo/.gitignore', '/r17171709_android_demo/GyroscopeImageDemo/.gitignore', '/r17171709_android_demo/HJAOCDemo/.gitignore', '/r17171709_android_demo/KeyBoardDemo/.gitignore', '/r17171709_android_demo/KotlinDemo/.gitignore', '/r17171709_android_demo/ListVisibilityDemo/.gitignore', '/r17171709_android_demo/LiveDataDemo/.gitignore', '/r17171709_android_demo/LiveDataRetrofit/.gitignore', '/r17171709_android_demo/RangeSeekbar/.gitignore', '/r17171709_android_demo/RecyclerViewDemo/.gitignore', '/r17171709_android_demo/RotateTextView/.gitignore', '/r17171709_android_demo/ShowCaseView/.gitignore', '/r17171709_android_demo/StatusBarDemo/.gitignore', '/r17171709_android_demo/SwipeRefreshLayoutDemo/.gitignore', '/r17171709_android_demo/SwipeToLoadLayoutDemo/.gitignore', '/r17171709_android_demo/ViewDragHelperDemo/.gitignore', '/r17171709_android_demo/WeixinEditText/.gitignore', '/r17171709_android_demo/tantan/.gitignore']"
246,Firebase,Firebase,Firebase,google/cdep,"['/google_cdep/README.md', '/google_cdep/cdep/src/main/java/io/cdep/cdep/resolver/GithubStyleMultipackageUrlCoordinateResolver.java', '/google_cdep/cdep/src/main/java/io/cdep/cdep/yml/cdepmanifest/HardNameDependency.java', '/google_cdep/cdep/src/test/java/io/cdep/TestCDep.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/ResolvedManifests.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/TestFindModuleFunctionTableBuilder.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/TestInterpretingVisitor.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/TestReadonlyVisitor.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/TestRewritingVisitor.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/fullfill/TestFillMissingFieldsBasedOnFilepath.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/fullfill/TestFullfill.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/generator/TestCMakeGenerator.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/generator/TestNdkBuildGenerator.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/resolver/TestGithubMultipackageCoordinateResolver.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/resolver/TestGithubReleasesCoordinateResolver.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/resolver/TestGithubStyleUrlCoordinateResolver.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/resolver/TestResolutionScope.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/resolver/TestResolver.java', '/google_cdep/cdep/src/test/java/io/cdep/cdep/utils/TestCDepManifestYmlUtils.java', '/google_cdep/doc/coordinate-resolution.md', '/google_cdep/smoke-test/cdep.sha256', '/google_cdep/smoke-test/cdep.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-admob.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-analytics.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-app.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-auth.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-database.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-invites.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-messaging.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-remote_config.yml', '/google_cdep/third_party/mini-firebase/cdep-manifest-storage.yml', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/admob.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/admob/banner_view.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/admob/interstitial_ad.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/admob/native_express_ad_view.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/admob/rewarded_video.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/admob/types.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/analytics.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/analytics/event_names.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/analytics/parameter_names.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/analytics/user_property_names.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/app.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/auth.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/auth/credential.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/auth/types.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/auth/user.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database/common.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database/data_snapshot.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database/database_reference.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database/disconnection.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database/listener.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database/mutable_data.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database/query.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/database/transaction.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/future.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/internal/common.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/internal/future_impl.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/invites.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/log.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/messaging.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/remote_config.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/storage.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/storage/common.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/storage/controller.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/storage/listener.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/storage/metadata.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/storage/storage_reference.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/util.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/variant.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/firebase/version.h', '/google_cdep/third_party/mini-firebase/firebase_cpp_sdk/include/google_play_services/availability.h']"
247,Firebase,Firebase,Firebase,YoungBill/Android-RemoteController,['/YoungBill_Android-RemoteController/.gitignore']
250,Firebase,Firebase,Firebase,udesk/UdeskSDK-Android,['/udesk_UdeskSDK-Android/udesksdk/.gitignore']
251,Firebase,Firebase,Firebase,LostInContext/LostContext-App,"['/LostInContext_LostContext-App/.idea/dictionaries/francois.xml', '/LostInContext_LostContext-App/app/build.gradle']"
252,Firebase,Firebase,Firebase,wajahatkarim3/EasyFlipViewPager,['/wajahatkarim3_EasyFlipViewPager/.gitignore']
254,Firebase,Firebase,Firebase,Krupen/AutoplayVideos,['/Krupen_AutoplayVideos/app/src/main/java/com/allattentionhere/autoplayvideossample/Activity/MainActivity.java']
255,Firebase,Firebase,Firebase,DeweyReed/ChromeMenu,['/DeweyReed_ChromeMenu/.gitignore']
256,Firebase,Firebase,Firebase,openhab/openhab-android,"['/openhab_openhab-android/.idea/dictionaries/openhab.xml', '/openhab_openhab-android/mobile/build.gradle', '/openhab_openhab-android/mobile/src/full/AndroidManifest.xml', '/openhab_openhab-android/mobile/src/full/java/org/openhab/habdroid/core/FcmMessageListenerService.kt', '/openhab_openhab-android/mobile/src/full/java/org/openhab/habdroid/core/FcmRegistrationService.kt', '/openhab_openhab-android/mobile/src/full/res/values-ar/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-ca/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-cs/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-de/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-es-rUS/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-es/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-et/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-fi/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-hu/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-in/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-it/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-ja/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-lb/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-nl/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-no/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-pl/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-pt-rBR/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-ru/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-sv/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-tr/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-uk/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values-zh-rCN/strings.xml', '/openhab_openhab-android/mobile/src/full/res/values/strings.xml']"
257,Firebase,Firebase,Firebase,openfoodfacts/OpenFoodFacts-androidApp,"['/openfoodfacts_OpenFoodFacts-androidApp/app/build.gradle', '/openfoodfacts_OpenFoodFacts-androidApp/app/src/main/AndroidManifest.xml', '/openfoodfacts_OpenFoodFacts-androidApp/app/src/main/java/openfoodfacts/github/scrachx/openfood/jobs/SavedProductUploadJob.java', '/openfoodfacts_OpenFoodFacts-androidApp/app/src/main/java/openfoodfacts/github/scrachx/openfood/network/OpenFoodAPIClient.java', '/openfoodfacts_OpenFoodFacts-androidApp/app/src/main/java/openfoodfacts/github/scrachx/openfood/utils/Utils.java']"
